time.interval,hash.tag,count
2015-04-23 18:41:41,mosquito,0
2015-04-23 18:41:41,pakistan,1
2015-04-23 18:41:41,saopaulo,0
2015-04-23 18:41:41,news,0
2015-04-23 18:41:41,karachi,0
2015-04-23 18:41:41,chikungunya,0
2015-04-23 18:41:41,pmln,0
2015-04-23 18:41:41,malaysia,0
2015-04-23 18:41:41,ptihas,0
2015-04-23 18:41:41,changepenang,0
2015-04-23 18:41:41,justice4saiful,0
2015-04-23 18:41:41,india,0
2015-04-23 18:41:41,malaria,1
2015-04-23 18:41:41,peru,0
2015-04-23 18:41:41,pharma,0
2015-04-23 18:38:12,dengue,11
2015-04-23 18:38:12,ondox,0
2015-04-23 18:38:12,brazil,4
2015-04-23 18:38:12,ebola,0
2015-04-23 18:38:12,health,1
2015-04-23 18:38:12,mosquito,0
2015-04-23 18:38:12,pakistan,1
2015-04-23 18:38:12,saopaulo,0
2015-04-23 18:38:12,news,0
2015-04-23 18:38:12,karachi,0
2015-04-23 18:38:12,chikungunya,0
2015-04-23 18:38:12,pmln,0
2015-04-23 18:38:12,malaysia,0
2015-04-23 18:38:12,ptihas,0
2015-04-23 18:38:12,changepenang,0
2015-04-23 18:38:12,justice4saiful,0
2015-04-23 18:38:12,india,0
2015-04-23 18:38:12,malaria,1
2015-04-23 18:38:12,peru,0
2015-04-23 18:38:12,pharma,0
2015-04-23 18:37:10,dengue,12
2015-04-23 18:37:10,ondox,0
2015-04-23 18:37:10,brazil,5
2015-04-23 18:37:10,ebola,0
2015-04-23 18:37:10,health,1
2015-04-23 18:37:10,mosquito,0
2015-04-23 18:37:10,pakistan,1
2015-04-23 18:37:10,saopaulo,0
2015-04-23 18:37:10,news,0
2015-04-23 18:37:10,karachi,0
2015-04-23 18:37:10,chikungunya,0
2015-04-23 18:37:10,pmln,0
2015-04-23 18:37:10,malaysia,0
2015-04-23 18:37:10,ptihas,0
2015-04-23 18:37:10,changepenang,0
2015-04-23 18:37:10,justice4saiful,0
2015-04-23 18:37:10,india,0
